artista_id,artista_nome,popularidade,uri,seguidores,genero
5ni65R3Lu8gNiQEHN6Gspw,Dj Huguinho do Banco,12,spotify:artist:5ni65R3Lu8gNiQEHN6Gspw,206,[]
5wexipxdAAr4K9TSxP9tt3,Mc vitin 22,4,spotify:artist:5wexipxdAAr4K9TSxP9tt3,17,[]
7FqfJqrsIOjZU2mjWIY1MB,Mc Wt da Caxu,5,spotify:artist:7FqfJqrsIOjZU2mjWIY1MB,96,[]
7JswWkHCTMyEgHlNXOvK6p,Cassin,25,spotify:artist:7JswWkHCTMyEgHlNXOvK6p,628,[]
3Z3KpO4RqycQD8f4hfnT3g,paniagonobeat,23,spotify:artist:3Z3KpO4RqycQD8f4hfnT3g,509,[]
3eegqYNOBDWAuQME8S5W1q,Salve Crazy,55,spotify:artist:3eegqYNOBDWAuQME8S5W1q,20009,[]
68wF4X9K8JFav3YlPFtsR2,Akashi Cruz,48,spotify:artist:68wF4X9K8JFav3YlPFtsR2,103259,['musica triste brasileira']
5CFIBhFm7Ndt7xVCBwwlrF,Fabin,37,spotify:artist:5CFIBhFm7Ndt7xVCBwwlrF,14416,['trap brasileiro']
0FoX5QU1aUxCGGMmrhrHok,Mc Urubuzinho,40,spotify:artist:0FoX5QU1aUxCGGMmrhrHok,33205,['funk ostentacao']
1ZcIMjx9kP46pUdFOdjWKQ,Abbot,49,spotify:artist:1ZcIMjx9kP46pUdFOdjWKQ,154564,['trap brasileiro']
46X4pYJUu5L7QsDIa3EP6t,CAO$,34,spotify:artist:46X4pYJUu5L7QsDIa3EP6t,589,['rap mineiro']
14jVHWj9dqpLhs8hHEMnyJ,MC 2jhow,39,spotify:artist:14jVHWj9dqpLhs8hHEMnyJ,5461,"['funk carioca', 'funk rj']"
5cS7sjRxRrlA7v6uWpEoTb,DJ KOSTA 22,23,spotify:artist:5cS7sjRxRrlA7v6uWpEoTb,1114,['funk rj']
67PBrqP0nECUumF2AQ8G6S,Nanasai,30,spotify:artist:67PBrqP0nECUumF2AQ8G6S,30962,"['lo-fi brasileiro', 'musica triste brasileira']"
0hUnMWEMD2Om6juG3dBJTE,Joe Caetano,10,spotify:artist:0hUnMWEMD2Om6juG3dBJTE,289,[]
42xf1iqSOZluDWJ8RW2B9H,Skeeter Beats,53,spotify:artist:42xf1iqSOZluDWJ8RW2B9H,6267,[]
1CQPPiPRlXbiMvDBO67c6w,Felipe Artioli,36,spotify:artist:1CQPPiPRlXbiMvDBO67c6w,843,[]
2ECTJpRqtJ5BbavpnhHT01,Tibery,41,spotify:artist:2ECTJpRqtJ5BbavpnhHT01,5097,[]
3iEB8nwJu246B3fN4zPuqW,Pedro Salomão,35,spotify:artist:3iEB8nwJu246B3fN4zPuqW,71641,"['folk brasileiro', 'nova mpb']"
5pm4O3fcYf0iiV1Bm2QqJn,Sophi,28,spotify:artist:5pm4O3fcYf0iiV1Bm2QqJn,4517,[]
36wFIGOzilPz03RSfP5Rl7,FLORA,14,spotify:artist:36wFIGOzilPz03RSfP5Rl7,1149,['musica alagoana']
096an3uS6ZaK2XySae6SqP,Arlindo Cruz,57,spotify:artist:096an3uS6ZaK2XySae6SqP,812494,"['axe', 'mpb', 'pagode', 'pagode novo', 'samba']"
6rM2yY0GnVcOHMU5GD3y9E,Martinho Da Vila,57,spotify:artist:6rM2yY0GnVcOHMU5GD3y9E,777447,"['axe', 'mpb', 'pagode', 'samba', 'umbanda', 'velha guarda']"
1PwOU6fFbmaGkK3wkbb8fU,Cazuza,59,spotify:artist:1PwOU6fFbmaGkK3wkbb8fU,1939576,"['brazilian rock', 'mpb', 'rock nacional brasileiro']"
6LWehyU6oi1UVgwp2PhVEZ,Vou pro Sereno,54,spotify:artist:6LWehyU6oi1UVgwp2PhVEZ,375138,"['pagode', 'pagode novo', 'samba moderno']"
3CDoRporvSjdzTrm99a3gi,LUDMILLA,75,spotify:artist:3CDoRporvSjdzTrm99a3gi,7177418,"['funk carioca', 'funk pop', 'funk rj', 'pagode baiano', 'pop nacional']"
56TkPi7rpmU8jTpkcK7FY3,Beth Carvalho,54,spotify:artist:56TkPi7rpmU8jTpkcK7FY3,498888,"['axe', 'bossa nova', 'mpb', 'pagode', 'partido alto', 'samba', 'samba-enredo', 'velha guarda']"
5Bn4jYRlfMfbxVwfPDGeL8,Hamilton De Holanda,47,spotify:artist:5Bn4jYRlfMfbxVwfPDGeL8,63797,"['bandolim', 'choro', 'choro contemporaneo', 'samba', 'velha guarda']"
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,62,spotify:artist:0i1s9WcIu0PrUvHzALgofo,1500596,"['mpb', 'samba-rock']"
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,62,spotify:artist:0i1s9WcIu0PrUvHzALgofo,1500596,"['mpb', 'samba-rock']"
3ZJCmnY5iUo1M0UFFWDXGf,MC Marcinho,49,spotify:artist:3ZJCmnY5iUo1M0UFFWDXGf,329549,"['funk das antigas', 'funk melody', 'funk ostentacao']"
3ZJCmnY5iUo1M0UFFWDXGf,MC Marcinho,49,spotify:artist:3ZJCmnY5iUo1M0UFFWDXGf,329549,"['funk das antigas', 'funk melody', 'funk ostentacao']"
2A34a0y7xLXf20pXZpbjCY,DJ Marlboro,50,spotify:artist:2A34a0y7xLXf20pXZpbjCY,79128,"['axe', 'funk carioca', 'funk das antigas', 'funk melody']"
1xKdiuYoOCM2oCMErUjvtq,Rodriguinho,53,spotify:artist:1xKdiuYoOCM2oCMErUjvtq,1044645,"['pagode', 'pagode novo']"
57xRtfFlssbpntpRQOBodd,Diogo Nogueira,57,spotify:artist:57xRtfFlssbpntpRQOBodd,873392,"['axe', 'mpb', 'pagode', 'pagode novo', 'samba', 'samba moderno']"
0jOs0wnXCu1bGGP7kh5uIu,Tim Maia,60,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,1853942,"['brazilian boogie', 'brazilian soul', 'mpb']"
1fUSLFr4WUBx7joEcGwpvG,Sorriso Maroto,72,spotify:artist:1fUSLFr4WUBx7joEcGwpvG,2880590,"['pagode', 'pagode novo', 'sertanejo universitario']"
1tPQcKxMrvf09Ry8zk68gt,DJ JOÃO PEREIRA,66,spotify:artist:1tPQcKxMrvf09Ry8zk68gt,35174,['funk mtg']
1pk1stIyHnuK6lXZ8QiNKt,MC Koringa,57,spotify:artist:1pk1stIyHnuK6lXZ8QiNKt,506593,"['funk carioca', 'funk das antigas']"
4avp60HMZY8XgYe7VGi4SU,Claudinho & Buchecha,49,spotify:artist:4avp60HMZY8XgYe7VGi4SU,320850,"['axe', 'funk das antigas', 'funk melody', 'pagode']"
1tTxuCABSKH8wBmE2Y7Odb,Buchecha,32,spotify:artist:1tTxuCABSKH8wBmE2Y7Odb,19917,['funk melody']
1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,56,spotify:artist:1vEN3d3dJbmdHQpXD6AIkL,1227379,"['boom bap brasileiro', 'brazilian hip hop', 'brazilian rock', 'rap nacional antigo']"
