album_id,album_nome,album_tipo,data_lancamento,uri,artistas_nome,nr_musicas
2jZtqrFPyOWIKweF3jQbnK,Fases (Ao Vivo),album,2023-10-27,spotify:album:2jZtqrFPyOWIKweF3jQbnK,['4hpKB93agzoncsTXEstSpK'],22
3MrMVmydFjA8VMdWI2wBKq,"10 Anos de Caju, Vol. 1",album,2023-07-07,spotify:album:3MrMVmydFjA8VMdWI2wBKq,"['4QXf68owEt4pbGAUeDaIfp', '34dfPo3Zi55yM6oV46q4y7', '50WgAZQkWLb1jysnVRsZBJ']",13
2oY868IbyPjEOmHjeI3dCG,Interessante,album,2023-08-11,spotify:album:2oY868IbyPjEOmHjeI3dCG,['5ZfBThYiIIhL7jHMG8gDB2'],11
6nmqgHVZIhpuO2vhnOdNrG,Trajetória (Ao Vivo),single,2023-07-07,spotify:album:6nmqgHVZIhpuO2vhnOdNrG,"['4QXf68owEt4pbGAUeDaIfp', '34dfPo3Zi55yM6oV46q4y7', '50WgAZQkWLb1jysnVRsZBJ']",1
1pxeauQMDEzXSu0xgzFMFR,Matadinha De Saudade (Ao Vivo),single,2023-11-29,spotify:album:1pxeauQMDEzXSu0xgzFMFR,"['6vTqEFbTtTRJsuIpzZgjxi', '43DRDu6nLSeIedZ7T1A616']",1
2OX5dCrbWu0Yorv9vO2jZk,Aladdin,single,2023-10-19,spotify:album:2OX5dCrbWu0Yorv9vO2jZk,"['1MzXJ8AaHdidMAnjgcahS4', '2YvHMMn0rYDvE3rs6dqzhq']",1
2qu44hB5GkwiKF9v4eQvPi,FRXV (Ao Vivo),album,2023-12-15,spotify:album:2qu44hB5GkwiKF9v4eQvPi,['7gJN8W0589FisSYJS17K54'],36
0nMw6EngQqlOJXLxt53jpQ,Para de Mentir,single,2023-11-16,spotify:album:0nMw6EngQqlOJXLxt53jpQ,"['4yGgbQJMq9orWypwqtdzYT', '3MrDVzg7ZXaYMyQmbDInr7', '0obu7Om4zu9ahul5DI4JtY', '25XJqeReVV38w0tR04GGBd']",1
3nwyZyralFOdRGEyNMjSJX,POCPOC,single,2023-11-23,spotify:album:3nwyZyralFOdRGEyNMjSJX,['5wbf52LA6kcaboHSN6NEF1'],1
0i0UyaiLEhUGQQT65177hS,Monstrão,single,2023-11-09,spotify:album:0i0UyaiLEhUGQQT65177hS,"['6xlRSRMLgZbsSNd0BMobwy', '7FNnA9vBm6EKceENgCGRMb']",1
5mFbRtI39Lf04HHLtoEm1Y,FUTURO FLUXO,album,2023-11-09,spotify:album:5mFbRtI39Lf04HHLtoEm1Y,"['7rXMvXRnWHaSwnVvPeUUfw', '3CDoRporvSjdzTrm99a3gi', '0f1IECbrVV952unZkzrsg2']",13
6FEJSBFIqZe9GYN2xaAP52,Macetando,single,2023-12-15,spotify:album:6FEJSBFIqZe9GYN2xaAP52,"['7dzq55YG3wjViqexDwiycQ', '3CDoRporvSjdzTrm99a3gi']",1
4KNN5lVMc1EREJFlbppJqH,Sugar Papi,album,2023-11-03,spotify:album:4KNN5lVMc1EREJFlbppJqH,"['64KEffDW9EtZ1y2vBYgq8T', '4PzYKhC14sTJNEr0dzoo0d']",11
4NUJYV2fygdmIVZCBelgb1,Joga Pra Lua,single,2023-12-15,spotify:album:4NUJYV2fygdmIVZCBelgb1,"['7FNnA9vBm6EKceENgCGRMb', '6xlRSRMLgZbsSNd0BMobwy', '5wbf52LA6kcaboHSN6NEF1']",1
5zo4yB81xhhrHpdTM923fd,"NÓS ESPIRRA LANÇA, O BARCO BALANÇA PRÁ VER QUEM FICA OU PULA VERSÃO RJ",single,2023-12-29,spotify:album:5zo4yB81xhhrHpdTM923fd,['1YRX9OXGI9drRgblcgQM65'],1
1TtOFaIIoal75gwSrou0PQ,4 4 2 Vida Rasa,single,2023-12-13,spotify:album:1TtOFaIIoal75gwSrou0PQ,"['7gQu7sh7oNcduKJcYf9XDe', '4zj1YRH4FBpjTJWdVDOJZw', '6SNpQsEXMAOQz9eRIzw2W2', '7GxaDyRRvTof2FhgQvhFnv']",1
0iNWePSLyDzi8sgj4F0ZB8,Oque Que Tu Fez Foi Macumba ou Feitiço,single,2023-12-01,spotify:album:0iNWePSLyDzi8sgj4F0ZB8,"['6iohbhHIFLAB77vd6nZAnA', '0EOOwVUWdPElrXOJyKOiBw']",1
