playlist_id,data_add,duracao,musica_id,musica_nome,popularidade,uri,album_id,artista_id
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,182482,4FMR4rG8hQINwhL3pwNqoX,Te Encontrar,27,spotify:track:4FMR4rG8hQINwhL3pwNqoX,1aTqCkWeRFEngYnG3xj9xq,['5pm4O3fcYf0iiV1Bm2QqJn']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,235978,64XFXLB6sGv4HViTEmR5SY,Eu Tenho Sal,20,spotify:track:64XFXLB6sGv4HViTEmR5SY,3UJ1zsBjruMFymxRvyBkgT,['36wFIGOzilPz03RSfP5Rl7']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,292906,52NFgCjGw7oZKIBABYKLPG,Meu Lugar,59,spotify:track:52NFgCjGw7oZKIBABYKLPG,3HuBoelQqiwD47mpONUHQw,['096an3uS6ZaK2XySae6SqP']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,144760,7fs6csqE3EltCrESv6cn0J,Disritmia,61,spotify:track:7fs6csqE3EltCrESv6cn0J,6ime25jnzjF1foE0e5RCYB,['6rM2yY0GnVcOHMU5GD3y9E']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,223400,4d0DpU7Odiv0ztvX2GxJlk,Exagerado,69,spotify:track:4d0DpU7Odiv0ztvX2GxJlk,6WvN5lJoLYNXc8HYLuxjeX,['1PwOU6fFbmaGkK3wkbb8fU']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,182860,15DHt4fP4FARWLvWkIxdAx,Teu Segredo - Ao Vivo,64,spotify:track:15DHt4fP4FARWLvWkIxdAx,1ADQD0bAhwSQIwvt9aZldY,"['6LWehyU6oi1UVgwp2PhVEZ', '3CDoRporvSjdzTrm99a3gi']"
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,221053,7qvmmQMaJ9EdxeFChIyNhu,Água de chuva no mar - Ao vivo,49,spotify:track:7qvmmQMaJ9EdxeFChIyNhu,5SZ3V2KJ2TBfhez9Yz1PlW,"['56TkPi7rpmU8jTpkcK7FY3', '5Bn4jYRlfMfbxVwfPDGeL8']"
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,289000,5rrQVPDt0mapp7sSuQHN1s,Carolina,55,spotify:track:5rrQVPDt0mapp7sSuQHN1s,3EVU0AnPTXK1scTVMrG8Sm,['0i1s9WcIu0PrUvHzALgofo']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,248080,6TVmNRrCRzU3NlyuubLIzZ,Amiga da Minha Mulher,68,spotify:track:6TVmNRrCRzU3NlyuubLIzZ,3LVFK1YwvyZMU1u20U2dMg,['0i1s9WcIu0PrUvHzALgofo']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,170813,1U124SGyxOZYZxAEcvkPmo,Tudo é Festa,17,spotify:track:1U124SGyxOZYZxAEcvkPmo,407BXjtKeKOoXstD6OG4zg,['3ZJCmnY5iUo1M0UFFWDXGf']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,207750,0RADP3i5RdFBWOxITiPa5S,Glamourosa (Rap Glamurosa),60,spotify:track:0RADP3i5RdFBWOxITiPa5S,4QUorwpHoxptxmWhAAxvPh,"['3ZJCmnY5iUo1M0UFFWDXGf', '2A34a0y7xLXf20pXZpbjCY']"
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,209106,5m0icrNPTAVGjpRtrVGAvN,Fatalmente,50,spotify:track:5m0icrNPTAVGjpRtrVGAvN,7KtX29ipevTaki6lflOxsc,['1xKdiuYoOCM2oCMErUjvtq']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,220866,1b0qrz3GCfvlpo05Dso8Re,Pé Na Areia,64,spotify:track:1b0qrz3GCfvlpo05Dso8Re,6j0eevSzWWuNeN9tkY5AZt,['57xRtfFlssbpntpRQOBodd']
37i9dQZF1DWYRXTdDUeLwT,2024-02-08T00:19:08Z,153790,0SfcG65T1KKCj5NQffpzQR,Não Quero Dinheiro (Só Quero Amar),64,spotify:track:0SfcG65T1KKCj5NQffpzQR,1crN3RnAw8N6BztzuEAo8A,['0jOs0wnXCu1bGGP7kh5uIu']
